motif,N,K,n,x,p
CCCCC,1000,497,29,28,3.2895494340177295e-08
GGFFFF,1000,497,16,16,1.2249593943519214e-05
EEEEE,1000,497,422,238,0.00018590406608322022
AAAABB,1000,497,139,90,8.731915088625204e-05
BAAAA,1000,497,173,115,7.853143780539746e-07
DDDFFF,1000,497,39,35,8.47071259850379e-08
BBAAA,1000,497,130,88,7.102141723070652e-06
AAAAAAA,1000,497,242,164,6.201598546727647e-11
AAAAAB,1000,497,180,119,7.455316220086956e-07
FFDDDD,1000,497,49,43,1.1170713301296661e-08
DDFFFF,1000,497,32,28,6.219531578248831e-06
AACCC,1000,497,17,17,5.987860454093699e-06
AAABB,1000,497,154,101,1.1958656753357777e-05
EEDDDDD,1000,497,134,95,7.877963313956358e-08
DDFFF,1000,497,39,35,8.47071259850379e-08
FFFFF,1000,497,69,61,2.59579432773661e-12
DDDFF,1000,497,51,46,3.7608277415124803e-10
AAAAA,1000,497,324,210,2.2672750235129422e-11
EEEEDDD,1000,497,127,87,3.6944459391115975e-06
GGGFF,1000,497,20,20,6.94931991448782e-07
DDDDFF,1000,497,46,42,9.559450645639803e-10
AAAAABBB,1000,497,68,48,0.00024826442052367984
DDDDDFFF,1000,497,33,30,4.1047435513163825e-07
CCCCCC,1000,497,22,21,3.987796488094053e-06
BAAAAAAAA,1000,497,92,69,1.917234221689693e-07
AAAAB,1000,497,206,135,2.1729864439005557e-07
