motif,N,K,n,x,p
ABBGGG,1000,501,26,24,4.323089144349345e-06
ABBGGGG,1000,501,20,18,0.000183728396110511
DDEEE,1000,501,63,44,0.0008418900664824772
ABEEE,1000,501,21,18,0.0006887396818524605
DDDDD,1000,501,185,137,1.988482813150985e-13
AABBG,1000,501,41,36,2.565834710090984e-07
BBBGGEE,1000,501,17,16,0.00012716820558869845
BBAAA,1000,501,163,139,1.7345112938122085e-24
BBBGGG,1000,501,57,53,9.389949290838697e-13
BBBGGGGG,1000,501,33,31,4.55846794231192e-08
ABBGG,1000,501,36,32,6.930824442356714e-07
GBBAA,1000,501,59,54,3.0190829310940986e-12
AAABB,1000,501,204,171,5.359478824345147e-29
BBBBGGG,1000,501,34,31,2.7383460147832054e-07
AAABGG,1000,501,29,24,0.00023735547431915748
BGEEE,1000,501,32,26,0.00022824127900876212
ABGGG,1000,501,28,25,1.1296082139342237e-05
GGGGEEEE,1000,501,65,57,4.959198446379953e-11
EEEEG,1000,501,106,83,2.92877458061947e-10
AABBGGGG,1000,501,19,18,3.435886089088377e-05
BBBBG,1000,501,63,57,2.332136053345855e-12
ABBBGGG,1000,501,20,19,1.7762245866526147e-05
BBBAA,1000,501,85,68,2.9737881859561443e-09
ABGGGG,1000,501,22,20,5.3663306443475715e-05
GGGGGEEEEEE,1000,501,28,26,1.1975080433158785e-06
FFFDD,1000,501,31,25,0.000381222983079198
AABBBG,1000,501,38,34,2.038492540401387e-07
AABBBGGG,1000,501,20,19,1.7762245866526147e-05
BBBGGGG,1000,501,42,39,1.5690148165163724e-09
EEEDD,1000,501,144,112,1.9323532296198085e-13
AAAGG,1000,501,29,25,4.350346865958497e-05
EEEED,1000,501,131,103,6.650961358820952e-13
EEEDDDD,1000,501,111,83,1.7401872717167975e-08
BEEEE,1000,501,39,32,2.6947804555303234e-05
BAAAA,1000,501,219,186,1.0120150680616556e-33
AABBGGG,1000,501,24,23,1.2294721694031828e-06
GEEEE,1000,501,206,164,1.8340426525565838e-22
AAAAGG,1000,501,29,25,4.350346865958497e-05
BBBGG,1000,501,80,73,3.226421657512618e-16
BBBBGGGG,1000,501,25,23,8.166908235713399e-06
FFFFF,1000,501,43,35,1.528422905078529e-05
GGGEEEEE,1000,501,76,63,7.382453572747336e-10
EEEEDDDD,1000,501,94,70,3.811980723331944e-07
ABBBGGGG,1000,501,14,13,0.000876918492347703
GBAAA,1000,501,44,37,1.780647494853471e-06
BBBBBGGG,1000,501,23,20,0.00021954160631671446
GGGEEE,1000,501,103,87,1.9480805448794543e-14
