motif,N,K,n,x,p
CCCCC,1000,497,29,28,3.2895494340177295e-08
DDDD,1000,497,271,206,5.223144625860339e-25
AAAA,1000,497,363,230,4.445463613606362e-11
DDFF,1000,497,51,46,3.7608277415124803e-10
GGFFFF,1000,497,16,16,1.2249593943519214e-05
EEEE,1000,497,467,266,1.1165491620328244e-05
EAAA,1000,497,42,34,2.0596698069068178e-05
EEEEE,1000,497,422,238,0.00018590406608322022
DFFF,1000,497,42,38,1.2652110890784762e-08
AAAABB,1000,497,139,90,8.731915088625204e-05
AABB,1000,497,160,104,1.5875023794852417e-05
GGFF,1000,497,21,21,3.38247510123163e-07
BAAAA,1000,497,173,115,7.853143780539746e-07
DDDFFF,1000,497,39,35,8.47071259850379e-08
BBAAA,1000,497,130,88,7.102141723070652e-06
FFFF,1000,497,92,82,6.060851900929257e-17
AAAAAAA,1000,497,242,164,6.201598546727647e-11
AAAAAB,1000,497,180,119,7.455316220086956e-07
FFDDDD,1000,497,49,43,1.1170713301296661e-08
DDFFFF,1000,497,32,28,6.219531578248831e-06
AACCC,1000,497,17,17,5.987860454093699e-06
BBAA,1000,497,144,96,7.0442450853394715e-06
AAABB,1000,497,154,101,1.1958656753357777e-05
CCCF,1000,497,23,22,2.025306522534794e-06
EEDDDDD,1000,497,134,95,7.877963313956358e-08
AAAC,1000,497,25,24,5.180736839805791e-07
EEED,1000,497,150,102,7.370163164004323e-07
DDFFF,1000,497,39,35,8.47071259850379e-08
EEDD,1000,497,161,111,5.910979893898566e-08
AAAB,1000,497,226,149,1.8399697990996502e-08
ACCC,1000,497,20,20,6.94931991448782e-07
FFFFF,1000,497,69,61,2.59579432773661e-12
DDDFF,1000,497,51,46,3.7608277415124803e-10
AAAAA,1000,497,324,210,2.2672750235129422e-11
EEEEDDD,1000,497,127,87,3.6944459391115975e-06
BBBB,1000,497,106,71,0.00011280793070737894
GGGFF,1000,497,20,20,6.94931991448782e-07
DDDDFF,1000,497,46,42,9.559450645639803e-10
AAAAABBB,1000,497,68,48,0.00024826442052367984
CCCC,1000,497,39,38,2.8832263794882273e-11
DDDDDFFF,1000,497,33,30,4.1047435513163825e-07
CCCCCC,1000,497,22,21,3.987796488094053e-06
AACC,1000,497,17,17,5.987860454093699e-06
BAAAAAAAA,1000,497,92,69,1.917234221689693e-07
AAAAB,1000,497,206,135,2.1729864439005557e-07
