motif,N,K,n,x,p
CCAAA,1000,503,25,21,0.00043908118241558483
EEEE,1000,503,413,284,4.461545830033205e-23
BBAA,1000,503,149,114,1.3087345787443577e-12
EEEEEEE,1000,503,272,174,8.044337831432005e-08
CCFF,1000,503,27,26,1.7864293898856655e-07
EEEEEEEED,1000,503,59,45,2.4068906351206056e-05
EEEEEEEE,1000,503,232,144,2.7779652908400738e-05
EEGG,1000,503,86,63,5.112629412831194e-06
EEEEG,1000,503,96,72,1.8795803050003618e-07
EEEEEEDDDD,1000,503,70,54,1.7368519680340021e-06
FFEE,1000,503,18,17,7.069173663607379e-05
EEEEE,1000,503,355,234,1.362965464583351e-13
BBBB,1000,503,99,80,4.2544112559950337e-11
FFFFDDD,1000,503,30,27,3.672217975120615e-06
EEEEEE,1000,503,309,203,4.4912556232073675e-11
EEEDD,1000,503,131,102,3.9619914665060185e-12
FCCC,1000,503,18,16,0.0006511425091795113
FFFF,1000,503,95,85,2.1823597919079008e-17
DFFFF,1000,503,28,23,0.0004347175796622763
CFFF,1000,503,24,22,1.6681076165023143e-05
FFFDD,1000,503,38,34,2.309791600247622e-07
EEEA,1000,503,50,44,9.791909100551248e-09
CFFFF,1000,503,21,19,0.00010676115388213391
FFFFD,1000,503,31,28,1.9874480321144015e-06
EEEGG,1000,503,69,51,3.041261250544748e-05
GBAA,1000,503,33,26,0.0006200320304355025
EEAA,1000,503,49,45,2.2412874867659743e-10
DEEE,1000,503,71,52,3.88858565212483e-05
FFFD,1000,503,40,36,6.745123734124167e-08
GGGG,1000,503,138,91,4.934159903053057e-05
FFFFF,1000,503,67,59,1.7868191484306353e-11
CCCCCCC,1000,503,41,37,3.624965557143293e-08
GGGB,1000,503,56,42,9.311254314437599e-05
BBBG,1000,503,51,38,0.0002634035286359846
AEEE,1000,503,73,54,1.650270544935329e-05
EEEEEED,1000,503,86,68,9.482365412642411e-09
CCCF,1000,503,30,27,3.672217975120615e-06
ABBB,1000,503,90,70,2.0234076864283047e-08
EFFF,1000,503,20,18,0.0001962134354679984
FFFFFFF,1000,503,44,38,3.4167822921745994e-07
GEEEE,1000,503,97,64,0.000774880447014192
CCCA,1000,503,25,23,8.90317814470528e-06
EEEEED,1000,503,100,78,2.0487030694463684e-09
GEEE,1000,503,113,79,6.003951624932967e-06
BBBBBB,1000,503,36,31,5.40255784076694e-06
AAEEE,1000,503,70,51,5.91803980222974e-05
DEEEE,1000,503,63,45,0.00036352801142667233
EEEG,1000,503,116,89,5.639627311312709e-10
BBBAA,1000,503,70,59,8.968720437116829e-10
DFFF,1000,503,36,30,3.025207920026877e-05
GBBB,1000,503,58,48,1.354108402487029e-07
FFDDD,1000,503,48,44,4.2778420289445767e-10
FFFFFF,1000,503,53,45,7.366649982813613e-08
BFFF,1000,503,10,10,0.0009912540331121255
EAAA,1000,503,56,50,2.4595725131558847e-10
EEED,1000,503,135,105,1.972302421882779e-12
EEEEEEDDD,1000,503,74,57,9.365741128322809e-07
EEEEEAA,1000,503,35,31,1.4209102787583385e-06
EEEF,1000,503,27,24,2.254592097170173e-05
CCFFFF,1000,503,18,17,7.069173663607379e-05
DDDF,1000,503,52,45,2.1015932343474338e-08
EEEEGG,1000,503,57,41,0.0005346491202844054
BBBBBA,1000,503,24,21,0.00013217694497022746
GGGGG,1000,503,98,67,0.00010978208561330171
EEEEF,1000,503,25,22,7.371899498076349e-05
